trait	pmid	date_published	size_cases	size_controls	size_other	size_total	size_effective	nsignif
Recombination rate (males)	18239089	2008-02-02	0	0	1887	1887	1887	1
Recurrence of mild malaria attacks	31667592	2019-10-30	0	0	525	525	525	1
Red blood cell count	20139978	2010-02-07	0	0	14392	14392	14392	8
Red blood cell count	27863252	2016-11-17	0	0	172952	172952	172952	212
Red blood cell count	28017375	2016-12-22	0	0	71638	71638	71638	17
Red blood cell count	28453575	2017-04-28	0	0	12502	12502	12502	5
Red blood cell count	28548082	2017-05-26	0	0	3213	3213	3213	1
Red blood cell count	29403010	2018-02-05	0	0	108794	108794	108794	60
Red blood cell count	30595370	2018-12-27	0	0	445000	445000	445000	851
Red blood cell count	31080455	2019-04-26	0	0	1625	1625	1625	2
Red blood cell count	31675503	2019-10-01	0	0	7526	7526	7526	1
Red blood cell fatty acid levels	25500335	2014-12-02	0	0	2633	2633	2633	13
Red blood cell folate levels	30339177	2018-10-19	0	0	2232	2232	2232	2
Red blood cell traits	20927387	2010-09-28	0	0	3012	3012	3012	12
Red blood cell traits	23222517	2012-12-05	0	0	71861	71861	71861	45
Red blood cell traits	23446634	2013-02-26	0	0	16485	16485	16485	13
Red blood cell traits	23696099	2013-05-20	0	0	1904	1904	1904	7
Red cell distribution width	27863252	2016-11-17	0	0	171529	171529	171529	212
Red cell distribution width	28453575	2017-04-28	0	0	12502	12502	12502	1
Red cell distribution width	28957414	2017-09-28	0	0	116666	116666	116666	195
Red cell distribution width	30595370	2018-12-27	0	0	445000	445000	445000	658
Red cell distribution width	31080455	2019-04-26	0	0	1625	1625	1625	1
Red cell distribution width	31675503	2019-10-01	0	0	7526	7526	7526	2
Red vs non-red hair color	17952075	2007-10-21	0	0	2986	2986	2986	1
Red vs non-red hair color	26184321	2015-07-13	0	0	7091	7091	7091	2
Red vs. brown/black hair color	30531825	2018-12-10	0	0	299651	299651	299651	40
Red vs. non-red hair color	18488028	2008-05-18	0	0	5130	5130	5130	1
Refractive astigmatism	25367360	2014-11-04	0	0	48020	48020	48020	1
Refractive astigmatism	30306274	2018-10-10	70505	17500	0	88005	56080.33634452587	4
Refractive error	20835236	2010-09-12	0	0	4270	4270	4270	1
Refractive error	20835239	2010-09-12	0	0	5328	5328	5328	1
Refractive error	23396134	2013-02-10	0	0	45758	45758	45758	24
Refractive error	23474815	2013-03-07	0	0	7280	7280	7280	1
Refractive error	32231278	2020-03-30	0	0	542934	542934	542934	448
Refractory celiac disease type II	29787419	2018-05-21	38	846	0	884	145.4660633484163	2
Regular attendance at a gym or sports club	29970889	2018-07-03	135060	317242	0	452302	378921.20326684386	6
Regular attendance at a pub or social club	29970889	2018-07-03	124047	328255	0	452302	360104.95629026624	13
Regular attendance at a religious group	29970889	2018-07-03	66259	386043	0	452302	226210.1263049909	18
Relapse in multiple sclerosis	28739605	2017-07-24	268	0	0	268	268	1
Relative amplitude of rest-activity cycles	30120083	2018-08-14	0	0	77440	77440	77440	1
Relative hand skill in reading disability	24068947	2013-09-12	0	0	728	728	728	1
Relative wall thickness	29403010	2018-02-05	0	0	19311	19311	19311	1
Relative wall thickness x antihypertensive treatment interaction	31407531	2019-08-13	0	0	2068	2068	2068	1
Remission after SSRI treatment in MDD or neuroticism	29559929	2018-03-06	0	0	171776	171776	171776	7
Renal cell carcinoma	21131975	2010-12-05	3772	8505	0	12277	10452.345035432108	3
Renal cell carcinoma	22010048	2011-10-18	894	1516	0	2410	2249.4672199170127	1
Renal cell carcinoma	23184150	2012-11-25	2215	8566	0	10781	7039.677209906317	1
Renal cell carcinoma	24220699	2013-11-13	1505	67725	0	69230	5889.130434782609	1
Renal cell carcinoma	25826619	2015-03-31	2215	8566	0	10781	7039.677209906317	2
Renal cell carcinoma	28598434	2017-06-09	10784	20406	0	31190	28221.64847707598	17
Renal cell carcinoma	31231134	2019-06-23	1992	3095	0	5087	4847.839591114606	7
Renal function and chronic kidney disease	19430482	2009-05-10	2388	17489	0	19877	8404.433667052372	4
Renal function-related traits (BUN)	22797727	2012-07-15	0	0	39717	39717	39717	13
Renal function-related traits (eGRFcrea)	22797727	2012-07-15	0	0	42451	42451	42451	7
Renal function-related traits (sCR)	22797727	2012-07-15	0	0	42257	42257	42257	8
Renal function-related traits (urea)	22797727	2012-07-15	0	0	21417	21417	21417	4
Renal overload gout	27899376	2016-11-29	560	1213	0	1773	1532.498589960519	4
Renal transplant outcome	23432519	2013-02-21	0	0	263	263	263	1
Renal underexcretion gout	27899376	2016-11-29	619	1213	0	1832	1639.4039301310042	7
Resistance to antihypertensive treatment in hypertension	31545351	2019-09-23	931	14210	0	15141	3495.016181229774	1
Resistant hypertension	30237584	2018-09-20	369	825	0	1194	1019.8492462311558	1
Resistant hypertension	31545351	2019-09-23	1159	16690	0	17849	4334.967785310101	3
Resistin levels	22843503	2012-07-26	0	0	3248	3248	3248	2
Resistin levels	27664181	2016-09-23	0	0	448	448	448	2
Respiratory diseases	30595370	2018-12-27	0	0	459000	459000	459000	103
Response to Dalcetrapib treatment in acute coronary syndrome	25583994	2015-01-11	0	0	2845	2845	2845	1
Response to Pazopanib in cancer (hepatotoxicity)	26546620	2015-11-06	1188	0	0	1188	1188	1
Response to SSRI in MDD or conscientiouness	29559929	2018-03-06	0	0	261726	261726	261726	1
Response to TNF inhibitor in rheumatoid arthritis (change in swollen 28-joint count)	30166627	2018-08-31	0	0	1723	1723	1723	9
Response to TNF inhibitor in rheumatoid arthritis (change in tender 28-joint count)	30166627	2018-08-31	0	0	1723	1723	1723	2
Response to Vitamin E supplementation	22437554	2012-03-21	0	0	2112	2112	2112	1
Response to adalimumab in hidradenitis suppurativa (abscess and inflammatory nodule count increase)	31465739	2019-08-26	0	0	307	307	307	1
Response to alcohol consumption (flushing response)	24277619	2013-11-26	108	190	0	298	275.4362416107383	1
Response to alcohol consumption (flushing response)	29460428	2018-02-20	0	0	1045	1045	1045	1
Response to allopurinol in gout (change in serum uric acid levels)	30924126	2019-03-28	3179	0	0	3179	3179	1
Response to amphetamines	22952603	2012-08-28	0	0	381	381	381	1
Response to anti-TNF therapy in rheumatoid arthritis	26776603	2016-01-18	444	0	0	444	444	1
Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy)	24554482	2014-02-20	58	164	0	222	171.3873873873874	1
Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy)	24554482	2014-02-20	23	164	0	187	80.68449197860963	8
Response to antidepressants	20360315	2010-04-01	0	0	706	706	706	1
Response to antipsychotic therapy (extrapyramidal side effects)	19875103	2009-10-27	738	0	0	738	738	1
Response to antipsychotic treatment	20195266	2010-03-02	103	0	635	738	738	3
Response to antipsychotic treatment	23241943	2012-12-12	421	0	317	738	738	2
Response to antipsychotic treatment in schizophrenia	29503163	2018-03-01	2413	0	0	2413	2413	5
Response to aripiprazole in schizophrenia	29503163	2018-03-01	397	0	0	397	397	1
Response to bleomycin (chromatid breaks)	21106707	2010-11-24	0	0	673	673	673	1
Response to bronchodilator in chronic obstructive pulmonary disease (change in FEV1)	26503814	2016-10-27	6577	0	0	6577	6577	6
Response to bupropion in depression	27622933	2016-09-13	4536	0	0	4536	4536	1
Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)	25117820	2014-08-12	255	387	0	642	614.8598130841121	1
Response to citalopram treatment	22760553	2012-07-03	1762	0	0	1762	1762	1
Response to clopidogrel therapy	19706858	2009-08-26	0	0	429	429	429	1
Response to clopidogrel therapy	28207573	2017-04-01	0	0	513	513	513	1
Response to cyclophosphamide in systemic lupus erythematosus with lupus nephritis	26980576	2016-03-15	109	0	0	109	109	1
Response to fenofibrate	22890011	2012-08-09	0	0	817	817	817	1
Response to fenofibrate (HDL cholesterol levels)	30263045	2018-09-17	0	0	817	817	817	1
Response to fenofibrate (LDL cholesterol levels)	27002377	2016-07-01	0	0	1594	1594	1594	2
Response to fenofibrate (adiponectin levels)	23149075	2012-11-10	0	0	793	793	793	1
Response to gemcitabine in pancreatic cancer	22142827	2011-12-05	294	0	0	294	294	1
Response to hepatitis B vaccine	29534301	2018-03-13	0	0	1193	1193	1193	10
Response to hepatitis B vaccine	31243853	2019-06-27	0	0	6867	6867	6867	1
Response to hepatitis C treatment	19684573	2009-08-16	1137	0	0	1137	1137	1
Response to hepatitis C treatment	19749757	2009-09-13	0	0	142	142	142	1
Response to hepatitis C treatment	19749758	2009-09-13	0	0	293	293	293	1
Response to hepatitis C treatment	21228123	2011-01-12	2101	282	0	2383	994.5144775493077	1
Response to hepatitis C treatment	21659334	2011-06-09	303	0	0	303	303	4
Response to inhaled glucocorticoid treatment in asthma (change in FEV1)	25601762	2015-01-20	0	0	120	120	120	2
Response to interferon beta therapy	21502966	2011-04-19	0	0	362	362	362	2
Response to ketogenic dietary therapies in epilepsy	30009487	2018-07-16	0	0	235	235	235	1
Response to lithium treatment in bipolar disorder	26806518	2016-01-22	0	0	2563	2563	2563	3
Response to lurasidone in schizophrenia	29730043	2018-05-02	422	0	0	422	422	1
Response to metformin in type 2 diabetes (HbA1c reduction)	27500523	2016-09-01	0	0	1372	1372	1372	1
Response to metformin in type 2 diabetes (glycemic)	21186350	2010-12-26	1024	0	0	1024	1024	1
Response to montelukast in asthma (change in FEV1)	26083242	2015-06-17	133	0	0	133	133	1
Response to olanzapine in schizophrenia	29503163	2018-03-01	412	0	0	412	412	1
Response to opioid analgesics in cancer (pain decrease)	30277654	2018-09-14	0	0	71	71	71	2
Response to paliperidone in schizophrenia (CGI-S score)	27846195	2016-11-11	1390	0	0	1390	1390	1
Response to paliperidone in schizophrenia (Multivariate)	27846195	2016-11-11	0	0	1390	1390	1390	1
Response to paliperidone in schizophrenia (PANSS score)	27846195	2016-11-11	0	0	1390	1390	1390	2
Response to paliperidone in schizophrenia (negative Marder score)	27846195	2016-11-11	1390	0	0	1390	1390	2
Response to paliperidone in schizophrenia (positive Marder score)	27846195	2016-11-11	1390	0	0	1390	1390	2
Response to platinum-based neoadjuvant chemotherapy in cervical cancer	28120872	2017-01-25	226	0	0	226	226	1
Response to radiotherapy in cancer (late toxicity)	24785509	2014-04-28	1773	0	0	1773	1773	1
Response to radiotherapy in prostate cancer (overall toxicity)	27515689	2016-07-20	0	0	1346	1346	1346	1
Response to radiotherapy in prostate cancer (toxicity)	24974847	2014-06-29	652	0	0	652	652	1
Response to radiotherapy in prostate cancer (toxicity, urinary frequency)	27515689	2016-07-20	0	0	1409	1409	1409	1
Response to risperidone in schizophrenia	29503163	2018-03-01	425	0	0	425	425	1
Response to serotonin reuptake inhibitors in major depressive disorder	25897834	2015-04-21	2394	0	0	2394	2394	1
Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)	24528284	2014-08-01	0	0	430	430	430	7
Response to serotonin reuptake inhibitors in non-psychotic unipolar depression	26348319	2015-09-08	481	0	0	481	481	1
Response to statin therapy	18650507	2008-07-23	85	90	0	175	174.85714285714283	1
Response to statin therapy	20339536	2010-03-22	0	0	3928	3928	3928	2
Response to statin therapy	22368281	2012-02-24	0	0	2702	2702	2702	1
Response to statins (HDL cholesterol change)	27587472	2016-09-01	0	0	16769	16769	16769	1
Response to statins (LDL cholesterol change)	22331829	2012-02-13	0	0	6989	6989	6989	4
Response to statins (LDL cholesterol change)	25350695	2014-10-28	0	0	18596	18596	18596	2
Response to statins (LDL cholesterol percent change)	31969989	2020-01-16	0	0	34874	34874	34874	3
Response to tamoxifen in breast cancer	22180457	2011-12-16	240	0	0	240	240	1
Response to temozolomide	23047291	2012-11-01	0	0	516	516	516	1
Response to thiopurine immunosuppressants in inflammatory bowel disease (pancreatitis) (azathioprine and mercaptopurine)	25217962	2014-09-14	172	2035	0	2207	634.381513366561	1
Response to tocilizumab in rheumatoid arthritis	22491018	2012-04-10	1157	0	0	1157	1157	3
Resting heart rate	20639392	2010-07-16	0	0	38991	38991	38991	8
Resting heart rate	23183192	2012-11-23	0	0	13372	13372	13372	1
Resting heart rate	24680774	2014-03-25	0	0	855	855	855	2
Resting heart rate	27798624	2016-10-31	0	0	134251	134251	134251	78
Resting heart rate	28270201	2017-03-07	0	0	26783	26783	26783	6
Resting heart rate	29769521	2018-05-16	0	0	67062	67062	67062	17
Resting oxygen saturation in chronic osbtructive pulmonary disease (pulse oxymetry)	24825563	2014-05-13	820	0	0	820	820	2
Resting-state electroencephalogram vigilance	29703947	2018-04-27	0	0	1877	1877	1877	1
Restless legs syndrome	17634447	2007-07-19	306	15664	0	15970	1200.5470256731371	1
Restless legs syndrome	17637780	2007-07-18	401	1644	0	2045	1289.474816625917	3
Restless legs syndrome	18660810	2008-07-27	628	1644	0	2272	1817.6619718309857	2
Restless legs syndrome	21779176	2011-07-14	922	1526	0	2448	2298.97385620915	6
Restless legs syndrome	29029846	2017-11-01	15126	95725	0	110851	52248.02121767056	19
Restricted and repetitive behaviours in autism spectrum disorder	28533516	2017-05-23	0	0	6809	6809	6809	1
Reticulocyte count	27863252	2016-11-17	0	0	170641	170641	170641	210
Reticulocyte fraction of red cells	27863252	2016-11-17	0	0	170690	170690	170690	218
Retinal arteriolar caliber	23776548	2013-06-12	0	0	18722	18722	18722	2
Retinal arteriolar tortuosity	31597446	2019-10-10	0	0	3094	3094	3094	1
Retinal detachment	31816047	2019-12-09	2893	360233	0	363126	11479.806667658058	2
Retinal detachment or retinal break	31816047	2019-12-09	3977	360233	0	364210	15734.29220504654	5
Retinal vascular caliber	21060863	2010-10-28	0	0	15358	15358	15358	4
Retinal venular tortuosity	31597446	2019-10-10	0	0	3094	3094	3094	1
Retinol levels	21878437	2011-08-30	0	0	5006	5006	5006	2
Rheumatic heart disease	28492228	2017-05-11	1006	1849	0	2855	2606.0861646234675	2
Rheumatoid arthritis	17554300	2007-06-07	1860	2938	0	4798	4555.79824927053	3
Rheumatoid arthritis	17804836	2007-09-05	1522	1850	0	3372	3340.0948991696323	3
Rheumatoid arthritis	17982456	2007-11-04	397	1211	0	1608	1195.9378109452737	1
Rheumatoid arthritis	18668548	2008-08-01	400	400	0	800	800.0	1
Rheumatoid arthritis	18794853	2008-09-14	3393	12460	0	15853	10667.199899072732	5
Rheumatoid arthritis	19503088	2009-06-07	2418	4504	0	6922	6293.367234903207	5
Rheumatoid arthritis	20453841	2010-05-09	2303	3380	0	5683	5478.894949850431	2
Rheumatoid arthritis	20453842	2010-05-09	5539	20169	0	25708	17382.307608526527	15
Rheumatoid arthritis	21156761	2010-12-14	1921	1079	0	3000	2763.6786666666667	4
Rheumatoid arthritis	21452313	2011-04-01	801	757	0	1558	1556.7573812580233	2
Rheumatoid arthritis	21505073	2011-04-19	1247	1486	0	2733	2712.0995243322354	3
Rheumatoid arthritis	21844665	2011-08-16	100	600	0	700	342.85714285714283	1
Rheumatoid arthritis	22446963	2012-03-25	4074	16891	0	20965	13129.29816360601	9
Rheumatoid arthritis	23028356	2012-09-13	2303	3380	0	5683	5478.894949850431	2
Rheumatoid arthritis	23143596	2012-12-01	13838	33742	0	47580	39253.61883144178	31
Rheumatoid arthritis	23918589	2013-12-01	706	761	0	1467	1464.93796864349	1
Rheumatoid arthritis	24390342	2013-12-25	19234	60565	0	79799	58392.070577325525	147
Rheumatoid arthritis	24449572	2014-01-01	3034	5271	0	8305	7702.45105358218	4
Rheumatoid arthritis	24782177	2014-05-01	952	943	0	1895	1894.9572559366754	15
Rheumatoid arthritis	25014791	2014-08-14	0	637	0	637	637	1
Rheumatoid arthritis	28118524	2017-01-24	511	352	0	863	833.7056778679026	3
Rheumatoid arthritis	30423114	2018-11-13	916	0	1392	2308	2308	107
Rheumatoid arthritis	30572963	2018-12-20	15523	22308	0	37831	36614.10842959478	18
Rheumatoid arthritis	30891314	2019-01-18	868	1194	0	2062	2010.459747817653	31
Rheumatoid arthritis (ACPA-negative)	23143596	2012-12-01	3297	15870	0	19167	10919.474096102676	2
Rheumatoid arthritis (ACPA-negative)	24532677	2014-02-14	1148	6008	0	7156	3855.3292342090554	2
Rheumatoid arthritis (ACPA-positive)	23143596	2012-12-01	9585	33742	0	43327	29858.247282295102	37
Rheumatoid arthritis (ACPA-positive)	24532676	2014-02-14	12522	42567	0	55089	38702.75183793498	43
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	28118524	2017-01-24	357	352	0	709	708.9647390691115	3
Rheumatoid factor seropositivity in rheumatoid arthritis	26815016	2016-01-27	1178	0	0	1178	1178	1
Ribavirin-induced anemia	20637204	2010-07-13	0	0	453	453	453	1
Right planum temporale grey matter volume	31887566	2019-11-29	0	0	18039	18039	18039	1
Risk-taking tendency (4-domain principal component model)	30643258	2019-01-14	0	0	315894	315894	315894	106
Risky sexual behaviors (alcohol dependence interaction)	27531626	2016-08-17	2977	947	0	3924	2873.8216106014274	1
Risky sexual behaviors (alcohol dependence interaction)	28990359	2017-10-09	2977	947	0	3924	2873.8216106014274	7
Risky sexual behaviors in alcohol dependence	28990359	2017-10-09	0	0	2977	2977	2977	3
Rosacea symptom severity	29771307	2018-05-16	0	0	73265	73265	73265	18
Rotator cuff tears	26350878	2015-09-05	311	2641	0	2952	1112.9417344173442	1
Rubella-specific interleukin-6 secretion	29253144	2017-12-14	0	0	1845	1845	1845	1
S-phenylmercapturic acid levels in smokers	26959369	2016-03-09	0	0	2239	2239	2239	3
Sagittal craniosynostosis	23160099	2012-11-18	0	0	130	130	130	2
Salivary metabolite levels	31960908	2020-01-21	0	0	1419	1419	1419	4
Sarcoidosis	22837380	2012-07-26	564	1575	0	2139	1661.1500701262273	1
Sarcoidosis	22936702	2012-08-30	637	1233	0	1870	1680.044919786096	1
Sarcoidosis	26051272	2015-09-15	1726	5482	0	7208	5250.794672586016	6
Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)	26651848	2016-05-01	1048	0	0	1048	1048	25
Sarcoidosis (Lofgren's syndrome)	26651848	2016-05-01	345	2025	0	2370	1179.113924050633	1
Sarcoidosis (non-Lofgren's syndrome without extrapulmonary manifestations)	26651848	2016-05-01	451	2086	0	2537	1483.3046905794247	2
Sarcoidosis (non-Lofgren's syndrome)	26651848	2016-05-01	568	2025	0	2593	1774.3154647126878	1
Scalp hair shape	26926045	2016-03-01	0	0	6357	6357	6357	4
Scarlet fever	28928442	2017-09-19	6812	113837	0	120649	25709.54235841159	4
Schizophrenia	19571808	2009-07-01	2663	13498	0	16161	8896.769754346884	4
Schizophrenia	19571809	2009-07-01	3967	3626	0	7593	7577.68576320295	1
Schizophrenia	19571811	2009-07-01	3322	3587	0	6909	6898.835721522652	1
Schizophrenia	21926974	2011-09-18	9394	12462	0	21856	21425.3345534407	8
Schizophrenia	22037552	2011-10-30	746	1599	0	2345	2034.7189765458422	2
Schizophrenia	22037555	2011-10-30	3750	6468	0	10218	9495.008807985907	2
Schizophrenia	22688191	2012-06-12	2111	2535	0	4646	4607.305208781748	4
Schizophrenia	22883433	2012-08-07	1606	1794	0	3400	3389.604705882353	1
Schizophrenia	23142968	2012-11-07	188	376	0	564	501.33333333333337	1
Schizophrenia	23894747	2013-02-01	11185	10768	0	21953	21945.079032478476	1
Schizophrenia	23974872	2013-08-25	13833	18310	0	32143	31519.42631366083	24
Schizophrenia	24043878	2013-09-16	481	2025	0	2506	1554.708699122107	1
Schizophrenia	24253340	2013-11-19	904	1640	0	2544	2331.069182389937	1
Schizophrenia	25056061	2014-07-22	34241	45604	3705	83550	78227.89474607051	98
Schizophrenia	26198764	2015-07-21	37581	113580	0	151161	112951.09135292833	150
Schizophrenia	27922604	2016-12-06	0	10154	0	10154	10154	4
Schizophrenia	28991256	2017-10-09	43175	65166	0	108341	103877.27822338726	126
Schizophrenia	29483656	2018-02-26	40675	64643	0	105318	99863.42410604075	97
Schizophrenia	30285260	2018-10-03	1940	7408	0	9348	6149.559264013692	287
Schizophrenia	30470734	2018-11-23	924	1125	0	2049	2029.2825768667642	1
Schizophrenia	31268507	2019-07-03	37805	113975	1781	153561	113554.48346290682	74
Schizophrenia	31740837	2019-11-18	22778	35362	0	58140	55416.28042655659	229
Schizophrenia and type 2 diabetes	30470734	2018-11-23	505	1125	0	1630	1394.1717791411045	2
Schizophrenia or bipolar disorder	24280982	2013-11-26	19779	19423	0	39202	39198.7671037192	7
Schizophrenia or schizoaffective disorder	31591465	2019-10-07	41627	52612	1235	95474	92958.5298655546	3
Schizophrenia vs type 2 diabetes	30470734	2018-11-23	1746	0	0	1746	1746	1
Schizophrenia, bipolar disorder and depression (combined)	20713499	2010-08-16	3126	1060	0	4186	3166.3258480649783	1
Schizophrenia, schizoaffective disorder or bipolar disorder	24166486	2013-10-29	1032	0	47038	48070	48070	5
Sciatica caused by lumbar disc herniation (treated with microdiscectomy)	28223688	2017-02-22	3097	132966	151275	287338	12106.030353586208	1
Sclerosing cholangitis and ulcerative colitis (combined)	22821403	2012-07-23	1376	2968	0	4344	3760.5598526703498	2
Scoliosis	22019779	2011-10-23	1033	1473	0	2506	2428.7454110135673	1
Scoliosis	23666238	2013-05-12	1033	1473	0	2506	2428.7454110135673	2
Seborrheic dermatitis	29203360	2017-12-02	609	3441	0	4050	2069.697777777778	2
Sedentary behaviour duration	30531941	2018-12-10	0	0	91105	91105	91105	6
Select biomarker traits	17903293	2007-09-19	0	0	1012	1012	1012	3
Selective IgA deficiency	27723758	2016-10-10	1635	4852	0	6487	4891.641745028519	7
Self-rated health	27864402	2017-06-01	0	0	111749	111749	111749	13
Self-reported allergy	23817569	2013-06-30	0	0	53862	53862	53862	16
Self-reported childhood asthma in adult smokers	30373671	2018-10-29	710	7321	0	8031	2588.9229236707756	1
Self-reported math ability	30038396	2018-07-23	0	0	564698	564698	564698	544
Self-reported math ability (MTAG)	30038396	2018-07-23	0	0	670471	670471	670471	751
Self-reported risk-taking behaviour	29391395	2018-02-02	29703	86552	0	116255	88455.68985419981	1
Self-reported risk-taking behaviour	30181555	2018-09-04	83677	244662	0	328339	249407.86411605083	23
Self-reported risk-taking behaviour	30271922	2018-05-03	113882	322354	0	436236	336609.7087631466	26
Self-reported tiredness	28194004	2017-02-14	0	0	108976	108976	108976	1
Sensation seeking	30718321	2019-02-04	0	0	22745	22745	22745	1
Sensorimotor dexterity	31596458	2019-10-09	623	910	0	1533	1479.2694063926942	1
Sensory disturbances after bilateral sagittal split ramus osteotomy	23834954	2013-07-08	0	0	105	105	105	1
Sero-negative rheumatoid arthritis	28706201	2017-07-13	3323	15785	0	19108	10980.438559765542	2
Serous borderline ovarian cancer	28346442	2017-03-27	0	42895	0	42895	42895	5
Serous invasive ovarian cancer	28346442	2017-03-27	0	54990	0	54990	54990	16
Serum 25-Hydroxyvitamin D levels	29325163	2018-01-09	0	0	28150	28150	28150	11
Serum 25-Hydroxyvitamin D levels	29545823	2018-03-01	0	0	1829	1829	1829	2
Serum 25-Hydroxyvitamin D levels	31841498	2019-12-16	0	0	761	761	761	2
Serum C3d:C3 ratio (systemic complement activation)	29398083	2018-02-01	0	0	1548	1548	1548	1
Serum IgA levels	24676358	2014-03-27	0	0	9617	9617	9617	1
Serum VEGFR2 concentration	25411163	2014-11-19	0	0	736	736	736	1
Serum albumin level	23022100	2012-09-26	0	0	62570	62570	62570	12
Serum albumin level	29403010	2018-02-05	0	0	102223	102223	102223	17
Serum albumin level	31675503	2019-10-01	0	0	14126	14126	14126	1
Serum alkaline phosphatase levels	24094242	2013-10-05	0	0	1452	1452	1452	4
Serum alkaline phosphatase levels	29403010	2018-02-05	0	0	105030	105030	105030	46
Serum alkaline phosphatase levels	31666285	2019-10-30	0	0	162774	162774	162774	48
Serum alkaline phosphatase levels	31675503	2019-10-01	0	0	14126	14126	14126	2
Serum alkaline phosphatase levels	32084209	2020-02-21	0	0	4457	4457	4457	1
Serum alpha-fetoprotein levels	31666285	2019-10-30	0	0	22686	22686	22686	3
Serum alpha1-antitrypsin levels	26174136	2015-07-15	0	0	3294	3294	3294	3
Serum bilirubin levels in metabolic syndrome	30621171	2019-01-04	0	0	430	430	430	9
Serum bilirubin levels x Mediterranean diet adherence interaction in metabolic syndrome	30621171	2019-01-04	0	0	418	418	418	1
Serum cancer antigen 125 levels	31666285	2019-10-30	0	0	9824	9824	9824	9
Serum cancer antigen 15.3 levels	31666285	2019-10-30	0	0	7107	7107	7107	6
Serum cancer antigen 19.9 levels	31666285	2019-10-30	0	0	9945	9945	9945	4
Serum carcinoembryonic antigen levels	31666285	2019-10-30	0	0	22309	22309	22309	9
Serum ceruloplasmin levels	22075249	2011-11-10	0	0	2647	2647	2647	1
Serum creatinine levels	29779033	2018-05-18	0	0	11283	11283	11283	2
Serum dimethylarginine levels (asymmetric/symetric ratio)	24159190	2013-10-24	0	0	5110	5110	5110	2
Serum erythropoietin levels	30271932	2018-05-17	0	0	4187	4187	4187	1
Serum folate levels	29953918	2018-06-25	0	0	1999	1999	1999	1
Serum folate levels	30339177	2018-10-19	0	0	2232	2232	2232	2
Serum galactose-deficient IgA1 levels	28187132	2017-02-10	0	0	1195	1195	1195	1
Serum lipase activity	25028398	2014-07-15	0	0	3966	3966	3966	2
Serum lycopene concentrations	26861389	2016-02-06	0	0	749	749	749	1
Serum magnesium levels	29093028	2017-11-01	0	0	7976	7976	7976	1
Serum metabolite concentrations in chronic kidney disease	29545352	2018-03-15	1143	0	0	1143	1143	40
Serum metabolite levels	23093944	2012-10-18	0	0	1678	1678	1678	110
Serum metabolite levels	24625756	2014-03-13	0	0	1260	1260	1260	19
Serum metabolite levels	25569235	2015-01-08	0	0	2118	2118	2118	9
Serum metabolite levels	31636271	2019-10-21	0	0	6263	6263	6263	371
Serum metabolite levels (CMS)	31636271	2019-10-21	0	0	6263	6263	6263	586
Serum metabolite ratios in chronic kidney disease	29545352	2018-03-15	1143	0	0	1143	1143	259
Serum oxytocin levels	31361301	2019-07-30	0	0	951	951	951	1
Serum parathyroid hormone levels	27927781	2016-12-07	0	0	22653	22653	22653	6
Serum platinum levels after completion of cisplatin chemotherapy	31296530	2019-07-11	0	0	1010	1010	1010	1
Serum prostate-specific antigen levels	21160077	2010-12-15	0	0	7538	7538	7538	7
Serum protein levels (sST2)	23999434	2013-09-03	0	0	2797	2797	2797	11
Serum sclerostin levels	31170332	2019-08-02	0	0	10584	10584	10584	2
Serum sulfate level	27412988	2016-07-13	0	0	917	917	917	1
Serum thyroid-stimulating hormone levels	24852370	2014-05-22	0	0	1346	1346	1346	2
Serum thyroid-stimulating hormone levels	25436638	2014-12-01	0	0	4852	4852	4852	1
Serum total cholesterol levels	29084231	2017-10-30	0	0	8372	8372	8372	34
Serum total protein level	23022100	2012-09-26	0	0	35707	35707	35707	6
Serum total protein level	29403010	2018-02-05	0	0	113509	113509	113509	39
Serum urate levels in chronic kidney disease	30181573	2018-09-04	4941	0	0	4941	4941	4
Serum urea levels	30808845	2019-02-26	0	0	13312	13312	13312	4
Serum uric acid levels	21983786	2011-10-09	0	0	15506	15506	15506	4
Serum uric acid levels	24379826	2013-12-16	0	0	632	632	632	1
Serum uric acid levels	24513273	2014-02-11	0	0	3451	3451	3451	4
Serum uric acid levels	26902266	2016-02-23	0	0	1109	1109	1109	3
Serum uric acid levels	29124443	2017-11-09	0	0	5847	5847	5847	27
Serum uric acid levels	29403010	2018-02-05	0	0	109029	109029	109029	48
Serum uric acid levels	29408531	2018-02-02	0	0	1634	1634	1634	2
Serum uric acid levels	30305239	2018-10-01	0	0	2153	2153	2153	3
Serum uric acid levels	30993211	2019-04-08	0	0	121745	121745	121745	84
Serum uric acid levels	31207883	2019-06-14	0	0	396	396	396	3
Serum uric acid levels	31841133	2019-12-16	0	0	9133	9133	9133	4
Serum uric acid levels in response to allopurinol in gout	25676789	2015-05-01	0	0	2027	2027	2027	2
